All event log messages.
Date:	2017-03-31 09:18:20
System Name:	vController2
Controller Name:	ITA-GRAM-W-44
Controller Id	N/A

RobotWare: 6.04.01.00
Key:	
Options:	
	RobotWare Base
	709-1 DeviceNet Master/Slave
	888-2 PROFINET Controller/Device
	687-1 Advanced Robot Motion
	603-1 Absolute Accuracy
	608-1 World Zones
	610-1 Independent Axis
	611-1 Path Recovery
	612-1 Path Offset
	885-1 SoftMove
	613-1 Collision Detection
	614-1 FTP and NFS client
	616-1 PC Interface
	617-1 FlexPendant Interface
	623-1 Multitasking
	689-1 Externally Guided Motion (EGM)
	English
	976-1 T10 Jogging Device

Robot1
Key:	
Options:	
	Motor Commutation
	Service Info System
	Pendelum Calibration
	810-2 SafeMove
	Axis Calibration
	Drive System IRB 460/640/660/760/4600/66xx/6700
	IRB 4600-40/2.55 Type C
	ADU-790A in position X3

TrackMotion
	Key:	
Options:	
	IRBT 2005 Standard Carriage
		Robot Orientation 180 Degrees

Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
35        	I   	Operational         	10012   	Safety guard stop state                 	2017-03-22 02:25:43 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop, or in manual mode if enabling device was released.	{args: }
36        	I   	Operational         	10015   	Manual mode selected                    	2017-03-22 02:25:43 	The system is in the Manual mode.	{args: }
37        	I   	Operational         	10150   	Program started                         	2017-03-22 02:25:43 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "1", "T_ROB1"}
38        	I   	Operational         	10150   	Program started                         	2017-03-22 02:25:43 	Execution of task PSC_CBC has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "2", "PSC_CBC"}
39        	I   	Operational         	10150   	Program started                         	2017-03-22 02:25:43 	Execution of task RECEIVER has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "3", "RECEIVER"}
40        	I   	Operational         	10150   	Program started                         	2017-03-22 02:25:43 	Execution of task SENDER has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "4", "SENDER"}
41        	I   	Operational         	10129   	Program stopped                         	2017-03-22 02:25:43 	The task PSC_CBC has stopped. The reason is that the event routine for RESET or POWER_ON is ready.	{args: "2", "PSC_CBC"}
42        	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 02:25:43 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
43        	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 02:25:43 	The program pointer of task RECEIVER has been reset.	{args: "3", "0", "RECEIVER"}
44        	I   	Operational         	10129   	Program stopped                         	2017-03-22 02:25:43 	The task RECEIVER has stopped. The reason is that the event routine for RESET or POWER_ON is ready.	{args: "3", "RECEIVER"}
45        	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 02:25:43 	The program pointer of task SENDER has been reset.	{args: "4", "0", "SENDER"}
46        	I   	Operational         	10129   	Program stopped                         	2017-03-22 02:25:43 	The task SENDER has stopped. The reason is that the event routine for RESET or POWER_ON is ready.	{args: "4", "SENDER"}
47        	I   	Operational         	10150   	Program started                         	2017-03-22 02:25:43 	Execution of task PSC_CBC has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "2", "PSC_CBC"}
48        	I   	Operational         	10129   	Program stopped                         	2017-03-22 02:25:43 	The task T_ROB1 has stopped. The reason is that the event routine for RESET or POWER_ON is ready.	{args: "1", "T_ROB1"}
49        	I   	Operational         	10045   	System restarted                        	2017-03-22 02:26:01 	System was restarted.	{args: }
51        	W   	Motion              	50316   	Absolute accuracy not activated         	2017-03-22 02:26:05 	Absolute accuracy function not activated for robot ROB_1.	{args: "ROB_1"}
52        	W   	Motion              	50465   	Tuning of robot stiffness parameters is recommended	2017-03-22 02:26:05 	No tuned system parameters for 'Motion Process Mode' on robot ROB_1 found.	{args: "ROB_1", "Mounting Stiffness"}
53        	I   	Operational         	10012   	Safety guard stop state                 	2017-03-22 02:26:10 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop, or in manual mode if enabling device was released.	{args: }
54        	I   	Operational         	10015   	Manual mode selected                    	2017-03-22 02:26:10 	The system is in the Manual mode.	{args: }
55        	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 02:26:10 	The program pointer of task PSC_CBC has been reset.	{args: "2", "0", "PSC_CBC"}
56        	I   	Operational         	10150   	Program started                         	2017-03-22 02:26:10 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "1", "T_ROB1"}
57        	I   	Operational         	10150   	Program started                         	2017-03-22 02:26:10 	Execution of task PSC_CBC has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "2", "PSC_CBC"}
58        	I   	Operational         	10150   	Program started                         	2017-03-22 02:26:10 	Execution of task RECEIVER has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "3", "RECEIVER"}
59        	I   	Operational         	10150   	Program started                         	2017-03-22 02:26:10 	Execution of task SENDER has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "4", "SENDER"}
60        	I   	Operational         	10129   	Program stopped                         	2017-03-22 02:26:10 	The task PSC_CBC has stopped. The reason is that the event routine for RESET or POWER_ON is ready.	{args: "2", "PSC_CBC"}
61        	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 02:26:10 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
62        	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 02:26:10 	The program pointer of task RECEIVER has been reset.	{args: "3", "0", "RECEIVER"}
63        	I   	Operational         	10129   	Program stopped                         	2017-03-22 02:26:10 	The task RECEIVER has stopped. The reason is that the event routine for RESET or POWER_ON is ready.	{args: "3", "RECEIVER"}
64        	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 02:26:10 	The program pointer of task SENDER has been reset.	{args: "4", "0", "SENDER"}
65        	I   	Operational         	10129   	Program stopped                         	2017-03-22 02:26:10 	The task SENDER has stopped. The reason is that the event routine for RESET or POWER_ON is ready.	{args: "4", "SENDER"}
66        	I   	Operational         	10150   	Program started                         	2017-03-22 02:26:10 	Execution of task PSC_CBC has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "2", "PSC_CBC"}
67        	I   	Operational         	10129   	Program stopped                         	2017-03-22 02:26:10 	The task T_ROB1 has stopped. The reason is that the event routine for RESET or POWER_ON is ready.	{args: "1", "T_ROB1"}
68        	I   	Operational         	10016   	Automatic mode requested                	2017-03-22 02:26:12 	The system has been ordered to go to the Automatic mode.	{args: }
69        	I   	Operational         	10017   	Automatic mode confirmed                	2017-03-22 02:26:12 	The system is in the Automatic mode.	{args: }
70        	I   	Operational         	10010   	Motors OFF state                        	2017-03-22 02:26:12 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
71        	I   	Operational         	10011   	Motors ON state                         	2017-03-22 02:26:16 	The system is in the Motors ON state.	{args: }
72        	I   	Operational         	10012   	Safety guard stop state                 	2017-03-22 02:26:17 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop, or in manual mode if enabling device was released.	{args: }
73        	I   	Operational         	10015   	Manual mode selected                    	2017-03-22 02:26:17 	The system is in the Manual mode.	{args: }
74        	I   	Operational         	10016   	Automatic mode requested                	2017-03-22 02:26:17 	The system has been ordered to go to the Automatic mode.	{args: }
75        	I   	Operational         	10017   	Automatic mode confirmed                	2017-03-22 02:26:18 	The system is in the Automatic mode.	{args: }
76        	I   	Operational         	10010   	Motors OFF state                        	2017-03-22 02:26:18 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
77        	I   	Operational         	10230   	Backup step ready                       	2017-03-22 02:27:06 	The backup step Prepare is ready.	{args: "0"}
78        	I   	Operational         	10231   	Backup step ready                       	2017-03-22 02:27:06 	The backup step Configuration is ready.	{args: "1"}
79        	I   	Operational         	10232   	Backup step ready                       	2017-03-22 02:27:07 	The backup of Task is ready.	{args: "2"}
