All event log messages.
Date:	2017-03-31 09:18:20
System Name:	vController2
Controller Name:	ITA-GRAM-W-44
Controller Id	N/A

RobotWare: 6.04.01.00
Key:	
Options:	
	RobotWare Base
	709-1 DeviceNet Master/Slave
	888-2 PROFINET Controller/Device
	687-1 Advanced Robot Motion
	603-1 Absolute Accuracy
	608-1 World Zones
	610-1 Independent Axis
	611-1 Path Recovery
	612-1 Path Offset
	885-1 SoftMove
	613-1 Collision Detection
	614-1 FTP and NFS client
	616-1 PC Interface
	617-1 FlexPendant Interface
	623-1 Multitasking
	689-1 Externally Guided Motion (EGM)
	English
	976-1 T10 Jogging Device

Robot1
Key:	
Options:	
	Motor Commutation
	Service Info System
	Pendelum Calibration
	810-2 SafeMove
	Axis Calibration
	Drive System IRB 460/640/660/760/4600/66xx/6700
	IRB 4600-40/2.55 Type C
	ADU-790A in position X3

TrackMotion
	Key:	
Options:	
	IRBT 2005 Standard Carriage
		Robot Orientation 180 Degrees

Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
221       	W   	Program             	41571   	Socket error                            	2017-03-22 05:47:37 	Task: SENDER.The address and port is already in use and cannot be used by this socket. Program ref: /A009_ComRhino_s/init_socket/SocketBind/703.	{args: "SENDER", "/A009_ComRhino_s/init_socket/SocketBind/703", "ERR_SOCK_ADDR_INUSE", "10048:6:1:127.0.0.1:30004:0.000000"}
222       	W   	Program             	41571   	Socket error                            	2017-03-22 05:47:37 	Task: RECEIVER.The address and port is already in use and cannot be used by this socket. Program ref: /A009_ComRhino_r/init_socket/SocketBind/701.	{args: "RECEIVER", "/A009_ComRhino_r/init_socket/SocketBind/701", "ERR_SOCK_ADDR_INUSE", "10048:6:1:127.0.0.1:30003:0.000000"}
223       	E   	Program             	41570   	Socket error                            	2017-03-22 05:47:37 	Task: SENDER.The socket cannot accept incoming connection requests since it is not set to listen state. Program ref: /A009_ComRhino_s/wait_for_client/SocketAccept/724.	{args: "SENDER", "/A009_ComRhino_s/wait_for_client/SocketAccept/724", " ", "-7:8:1:127.0.0.1:30004:1.000000"}
224       	E   	Program             	40223   	Execution error                         	2017-03-22 05:47:37 	The execution of task SENDER has been stopped by a runtime error.	{args: "SENDER"}
225       	I   	Operational         	10020   	Execution error state                   	2017-03-22 05:47:37 	The program execution in task SENDER has been stopped due to a spontaneous error.	{args: "4", "SENDER"}
226       	I   	Operational         	10126   	Program stopped                         	2017-03-22 05:47:37 	The task SENDER has stopped. The reason is that an error has occurred.	{args: "4", "SENDER"}
227       	E   	Program             	41570   	Socket error                            	2017-03-22 05:47:37 	Task: RECEIVER.The socket cannot accept incoming connection requests since it is not set to listen state. Program ref: /A009_ComRhino_r/wait_for_client/SocketAccept/722.	{args: "RECEIVER", "/A009_ComRhino_r/wait_for_client/SocketAccept/722", " ", "-7:8:1:127.0.0.1:30003:1.000000"}
228       	E   	Program             	40223   	Execution error                         	2017-03-22 05:47:37 	The execution of task RECEIVER has been stopped by a runtime error.	{args: "RECEIVER"}
229       	I   	Operational         	10020   	Execution error state                   	2017-03-22 05:47:37 	The program execution in task RECEIVER has been stopped due to a spontaneous error.	{args: "3", "RECEIVER"}
230       	I   	Operational         	10126   	Program stopped                         	2017-03-22 05:47:37 	The task RECEIVER has stopped. The reason is that an error has occurred.	{args: "3", "RECEIVER"}
231       	I   	Operational         	10021   	Execution error reset                   	2017-03-22 05:47:43 	The program execution in task RECEIVER has left a spontaneous error state.	{args: "3", "RECEIVER"}
232       	I   	Operational         	10021   	Execution error reset                   	2017-03-22 05:47:43 	The program execution in task SENDER has left a spontaneous error state.	{args: "4", "SENDER"}
233       	I   	Operational         	10052   	Regain start                            	2017-03-22 05:47:43 	A regain movement has started.	{args: "0"}
234       	I   	Operational         	10053   	Regain ready                            	2017-03-22 05:47:43 	The regain movement is ready.	{args: "0"}
235       	I   	Operational         	10156   	Program restarted                       	2017-03-22 05:47:43 	Execution of task RECEIVER has been restarted from where it was previously stopped. The originator is an external client.	{args: "3", "RECEIVER"}
236       	I   	Operational         	10156   	Program restarted                       	2017-03-22 05:47:43 	Execution of task SENDER has been restarted from where it was previously stopped. The originator is an external client.	{args: "4", "SENDER"}
237       	E   	Program             	41570   	Socket error                            	2017-03-22 05:47:43 	Task: RECEIVER.The socket cannot accept incoming connection requests since it is not set to listen state. Program ref: /A009_ComRhino_r/wait_for_client/SocketAccept/722.	{args: "RECEIVER", "/A009_ComRhino_r/wait_for_client/SocketAccept/722", " ", "-7:8:1:127.0.0.1:30003:1.000000"}
238       	E   	Program             	40223   	Execution error                         	2017-03-22 05:47:43 	The execution of task RECEIVER has been stopped by a runtime error.	{args: "RECEIVER"}
239       	I   	Operational         	10020   	Execution error state                   	2017-03-22 05:47:43 	The program execution in task RECEIVER has been stopped due to a spontaneous error.	{args: "3", "RECEIVER"}
240       	I   	Operational         	10126   	Program stopped                         	2017-03-22 05:47:43 	The task RECEIVER has stopped. The reason is that an error has occurred.	{args: "3", "RECEIVER"}
241       	E   	Program             	41570   	Socket error                            	2017-03-22 05:47:43 	Task: SENDER.The socket cannot accept incoming connection requests since it is not set to listen state. Program ref: /A009_ComRhino_s/wait_for_client/SocketAccept/724.	{args: "SENDER", "/A009_ComRhino_s/wait_for_client/SocketAccept/724", " ", "-7:8:1:127.0.0.1:30004:1.000000"}
242       	E   	Program             	40223   	Execution error                         	2017-03-22 05:47:43 	The execution of task SENDER has been stopped by a runtime error.	{args: "SENDER"}
243       	I   	Operational         	10020   	Execution error state                   	2017-03-22 05:47:43 	The program execution in task SENDER has been stopped due to a spontaneous error.	{args: "4", "SENDER"}
244       	I   	Operational         	10126   	Program stopped                         	2017-03-22 05:47:43 	The task SENDER has stopped. The reason is that an error has occurred.	{args: "4", "SENDER"}
245       	I   	Operational         	10021   	Execution error reset                   	2017-03-22 05:49:49 	The program execution in task RECEIVER has left a spontaneous error state.	{args: "3", "RECEIVER"}
246       	I   	Operational         	10021   	Execution error reset                   	2017-03-22 05:49:49 	The program execution in task SENDER has left a spontaneous error state.	{args: "4", "SENDER"}
247       	I   	Operational         	10052   	Regain start                            	2017-03-22 05:49:49 	A regain movement has started.	{args: "0"}
248       	I   	Operational         	10053   	Regain ready                            	2017-03-22 05:49:49 	The regain movement is ready.	{args: "0"}
249       	I   	Operational         	10156   	Program restarted                       	2017-03-22 05:49:49 	Execution of task RECEIVER has been restarted from where it was previously stopped. The originator is an external client.	{args: "3", "RECEIVER"}
250       	I   	Operational         	10156   	Program restarted                       	2017-03-22 05:49:49 	Execution of task SENDER has been restarted from where it was previously stopped. The originator is an external client.	{args: "4", "SENDER"}
251       	E   	Program             	41570   	Socket error                            	2017-03-22 05:49:49 	Task: RECEIVER.The socket cannot accept incoming connection requests since it is not set to listen state. Program ref: /A009_ComRhino_r/wait_for_client/SocketAccept/722.	{args: "RECEIVER", "/A009_ComRhino_r/wait_for_client/SocketAccept/722", " ", "-7:8:1:127.0.0.1:30003:1.000000"}
252       	E   	Program             	40223   	Execution error                         	2017-03-22 05:49:49 	The execution of task RECEIVER has been stopped by a runtime error.	{args: "RECEIVER"}
253       	I   	Operational         	10020   	Execution error state                   	2017-03-22 05:49:49 	The program execution in task RECEIVER has been stopped due to a spontaneous error.	{args: "3", "RECEIVER"}
254       	I   	Operational         	10126   	Program stopped                         	2017-03-22 05:49:49 	The task RECEIVER has stopped. The reason is that an error has occurred.	{args: "3", "RECEIVER"}
255       	E   	Program             	41570   	Socket error                            	2017-03-22 05:49:49 	Task: SENDER.The socket cannot accept incoming connection requests since it is not set to listen state. Program ref: /A009_ComRhino_s/wait_for_client/SocketAccept/724.	{args: "SENDER", "/A009_ComRhino_s/wait_for_client/SocketAccept/724", " ", "-7:8:1:127.0.0.1:30004:1.000000"}
256       	E   	Program             	40223   	Execution error                         	2017-03-22 05:49:49 	The execution of task SENDER has been stopped by a runtime error.	{args: "SENDER"}
257       	I   	Operational         	10020   	Execution error state                   	2017-03-22 05:49:49 	The program execution in task SENDER has been stopped due to a spontaneous error.	{args: "4", "SENDER"}
258       	I   	Operational         	10126   	Program stopped                         	2017-03-22 05:49:49 	The task SENDER has stopped. The reason is that an error has occurred.	{args: "4", "SENDER"}
259       	I   	Operational         	10125   	Program stopped                         	2017-03-22 05:49:53 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred.	{args: "1", "T_ROB1"}
260       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 05:50:02 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
261       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 05:50:02 	The program pointer of task RECEIVER has been reset.	{args: "3", "0", "RECEIVER"}
262       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 05:50:02 	The program pointer of task SENDER has been reset.	{args: "4", "0", "SENDER"}
263       	I   	Operational         	10021   	Execution error reset                   	2017-03-22 05:50:02 	The program execution in task RECEIVER has left a spontaneous error state.	{args: "3", "RECEIVER"}
264       	I   	Operational         	10021   	Execution error reset                   	2017-03-22 05:50:02 	The program execution in task SENDER has left a spontaneous error state.	{args: "4", "SENDER"}
265       	I   	Operational         	10052   	Regain start                            	2017-03-22 05:50:06 	A regain movement has started.	{args: "0"}
266       	I   	Operational         	10053   	Regain ready                            	2017-03-22 05:50:06 	The regain movement is ready.	{args: "0"}
267       	I   	Operational         	10151   	Program started                         	2017-03-22 05:50:06 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
268       	I   	Operational         	10151   	Program started                         	2017-03-22 05:50:06 	Execution of task RECEIVER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "3", "RECEIVER"}
269       	I   	Operational         	10151   	Program started                         	2017-03-22 05:50:06 	Execution of task SENDER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "4", "SENDER"}
270       	W   	Program             	41617   	Too intense frequency of Write Instructions	2017-03-22 05:50:57 	A high usage frequency of user interface write instructions, such as TPWrite, has forced the program execution to slow down.	{args: }
271       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:25 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
272       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:25 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
273       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:26 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
274       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:27 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
275       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:28 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
276       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:29 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
277       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:30 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
278       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:31 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
279       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:32 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
280       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:33 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
281       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:33 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
282       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:35 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
283       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:35 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
284       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:36 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
285       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:37 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
286       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:38 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
287       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:40 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
288       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:40 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
289       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:41 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
290       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:42 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
291       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:43 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
292       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:44 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
293       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:45 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
294       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:46 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
295       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:47 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
296       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:48 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
297       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:49 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
298       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:50 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
299       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:51 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
300       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:52 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
301       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:52 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
302       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:54 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
303       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:54 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
304       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:55 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
305       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:56 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
306       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:57 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
307       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:59 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
308       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:51:59 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
309       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:00 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
310       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:01 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
311       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:02 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
312       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:04 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
313       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:04 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
314       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:05 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
315       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:06 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
316       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:07 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
317       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:09 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
318       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:09 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
319       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 05:52:10 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
